CAV1|Caveolin-1
ITGA2|CD49b
CDK1|CDK1
CHEK1|Chk1_pS345
CHEK2|Chk2
CHEK2|Chk2_pT68
BIRC2 |cIAP
CLDN7|Claudin-7
CCNB1|Cyclin_B1
CCND1|Cyclin_D1
CCNE1|Cyclin_E1
DVL3|Dvl3
EEF2K|eEF2K
EGFR|EGFR
EGFR|EGFR_pY1068
ESR1|ER-alpha_pS118
MAPK1|ERK2
FN1|Fibronectin
GSK3A GSK3B|GSK3-alpha-beta_pS21_S9
ERBB2|HER2
ERBB3|HER3
ERBB3|HER3_pY1298
HSPA1A|HSP70
IGFBP2|IGFBP2
INPP4B|INPP4B
IRS1|IRS1
MAPK8|JNK_pT183_Y185
MAPK9|JNK2
XRCC5|Ku80
LCK|Lck
STK11|LKB1
MAP2K1|MEK1
MAP2K1|MEK1_pS217_S221
ERRFI1|MIG-6
MTOR|mTOR
MTOR|mTOR_pS2448
CDH2|N-Cadherin
NFKB1|NF-kB-p65_pS536
NF2|NF2
CDH3|P-Cadherin
CDKN1B|p27
CDKN1B|p27_pT157
MAPK14|p38_MAPK
MAPK14|p38_pT180_Y182
TP53|p53
RPS6KB1|p70S6K
RPS6KB1|p70S6K_pT389
RPS6KA1|p90RSK_pT359_S363
SERPINE1|PAI-1
PEA15|PEA15
PIK3CA |PI3K-p110-alpha
PRKCA |PKC-alpha
PRKCA |PKC-alpha_pS657
PTEN|PTEN
RAD50|Rad50
RB1|Rb_pS807_S811
RPS6|S6_pS240_S244
SHC1|Shc_pY317
SMAD3|Smad3
SMAD4|Smad4
SRC|Src
SRC|Src_pY416
STMN1|Stathmin
KDR|VEGFR2
XRCC1|XRCC1
YAP1|YAP
YBX1|YB-1
ANXA7|Annexin_VII
ARID1A|ARID1A
MS4A1|CD20
CCNE2|Cyclin_E2
FASN|FASN
G6PD|G6PD
GAPDH|GAPDH
GSK3A GSK3B|GSK3_pS9
NRG1|Heregulin
NRAS|N-Ras
NDRG1|NDRG1_pT346
CDKN1B|p27_pT198
RPS6KA1|p90RSK
PIK3R1 PIK3R2|PI3K-p85
PRKCB|PKC-pan_BetaII_pS660
PRDX1|PRDX1
RAB11A RAB11B|Rab11
RAB25|Rab25
RBM15|RBM15
RICTOR|Rictor_pT1135
SCD1|SCD1
TIGAR|TIGAR
TGM2|Transglutaminase
TFRC|TFRC
TSC1|TSC1
TSC2|Tuberin_pT1462
VHL|VHL
XBP1|XBP1
TUBA1B|Acetyl-a-Tubulin-Lys40
SQSTM1|p62-LCK-ligand
YWHAB|14-3-3_beta
YWHAZ|14-3-3_zeta
ANXA1|Annexin-1
MSH2|MSH2
MSH6|MSH6
DIABLO|Smac
