YWHAB|14-3-3_beta-R-V
YWHAE|14-3-3_epsilon-M-C
YWHAZ|14-3-3_zeta-R-V
EIF4EBP1|4E-BP1-R-V
EIF4EBP1|4E-BP1_pS65-R-V
EIF4EBP1|4E-BP1_pT37_T46-R-V
EIF4EBP1|4E-BP1_pT70-R-V
TP53BP1|53BP1-R-E
ARAF|A-Raf_pS299-R-C
ACACA|ACC1-R-E
ACACA ACACB|ACC_pS79-R-V
ACVRL1|ACVRL1-R-C
ADAR|ADAR1-R-V
PRKAA1|AMPK_alpha-R-C
PRKAA1|AMPK_pT172-R-V
AR|AR-R-V
ASNS|ASNS-R-V
ATM|ATM-R-E
TUBA1B|Acetyl-a-Tubulin-Lys40-R-C
AKT1 AKT2 AKT3|Akt-R-V
AKT1 AKT2 AKT3|Akt_pS473-R-V
AKT1 AKT2 AKT3|Akt_pT308-R-V
ANXA1|Annexin-1-M-E
ANXA7|Annexin_VII-M-V
BRAF|B-Raf-M-C
BRCA2|BRCA2-R-C
BAD|Bad_pS112-R-V
BAK1|Bak-R-E
BAP1|Bap1-c-4-M-E
BAX|Bax-R-V
