BCL2|Bcl-2-M-V
BCL2L1|Bcl-xL-R-V
BECN1|Beclin-G-C
BID|Bid-R-C
BCL2L11|Bim-R-V
RAF1|C-Raf-R-V
RAF1|C-Raf_pS338-R-E
CASP7|Caspase-7_cleavedD198-R-C
CHEK1|Chk1_pS345-R-C
COL6A1|Collagen_VI-R-V
CCNB1|Cyclin_B1-R-V
CCND1|Cyclin_D1-R-V
CCNE1|Cyclin_E1-M-V
CCNE2|Cyclin_E2-R-C
PARK7|DJ-1-R-E
DVL3|Dvl3-R-V
CDH1|E-Cadherin-R-V
EGFR|EGFR-R-V
ESR1|ER-alpha-R-V
ESR1|ER-alpha_pS118-R-V
MAPK1|ERK2-R-E
FOXO3|FOXO3a-R-C
FN1|Fibronectin-R-V
G6PD|G6PD-M-V
GAPDH|GAPDH-M-C
GSK3A GSK3B|GSK3-alpha-beta-M-V
GAB2|Gab2-R-V
ERBB2|HER2-M-V
ERBB2|HER2_pY1248-R-C
ERBB3|HER3-R-V
ERBB3|HER3_pY1289-R-C
NRG1|Heregulin-R-V
IGFBP2|IGFBP2-R-V
INPP4B|INPP4B-G-E
IRS1|IRS1-R-V
MAPK9|JNK2-R-C
MAPK8|JNK_pT183_pY185-R-V
XRCC5|Ku80-R-C
LCK|Lck-R-V
MAP2K1|MEK1-R-V
MAP2K1|MEK1_pS217_S221-R-V
MYH9|Myosin-IIa_pS1943-R-V
NRAS|N-Ras-M-V
NF2|NF2-R-C
NOTCH1|Notch1-R-V
SERPINE1|PAI-1-M-E
PCNA|PCNA-M-C
PDCD4|PDCD4-R-C
PDK1|PDK1_pS241-R-V
PEA15|PEA15-R-V
PEA15|PEA15_pS116-R-V
PIK3CA |PI3K-p110-alpha-R-C
PIK3R1/2|PI3K-p85-R-V
PGR|PR-R-V
PRDX1|PRDX1-R-V
PREX1|PREX1-R-E
PTEN|PTEN-R-V
PXN|Paxillin-R-C
Rab 25|Rab25-R-V
RAD50|Rad50-M-V
RPTOR|Raptor-R-V
RB1|Rb_pS807_S811-R-V
RICTOR|Rictor_pT1135-R-V
RPS6|S6-R-E
SCD1|SCD1-M-V
STAT3|STAT3_pY705-R-V
SMAD1|Smad1-R-V
SMAD3|Smad3-R-V
SMAD4|Smad4-M-V
SRC|Src-M-V
SRC|Src_pY416-R-C
SRC|Src_pY527-R-V
WWTR1|TAZ-R-V
TFRC|TFRC-R-V
TTF1|TTF1-R-V
TGM2|Transglutaminase-M-V
TSC2|Tuberin-R-E
KDR|VEGFR2-R-V
VHL|VHL-M-C
XPB1|XPB1-G-C
YAP1|YAP_pS127-R-E
YBX1|YB-1-R-V
YBX1|YB-1_pS102-R-V
CTNNA1|alpha-Catenin-M-V
JUN|c-Jun_pS73-R-V
KIT|c-Kit-R-V
MET|c-Met_pY1235-R-V
MYC|c-Myc-R-C
BIRC2 |cIAP-R-V
EEF2K|eEF2K-R-V
EIF4E|eIF4E-R-V
EIF4G1|eIF4G-R-C
FRAP1|mTOR-R-V
FRAP1|mTOR_pS2448-R-C
CDKN1A|p21-R-V
CDKN1B|p27-R-V
CDKN1B|p27_pT198-R-V
MAPK14|p38_MAPK-R-V
SQSTM1|p62-LCK-ligand-M-C
RPS6KB1|p70S6K-R-V
RPS6KB1|p70S6K_pT389-R-V
RPS6KA1|p90RSK-R-C
