BCL2L1|Bcl-xL-R-V
BID|Bid-R-C
BCL2L11|Bim-R-V
RAF1|C-Raf-R-V
RAF1|C-Raf_pS338-R-E
CASP7|Caspase-7_cleavedD198-R-C
CHEK1|Chk1-R-E
CHEK2|Chk2-M-E
CHEK2|Chk2_pT68-R-E
COL6A1|Collagen_VI-R-V
CCNB1|Cyclin_B1-R-V
CCND1|Cyclin_D1-R-V
CCNE1|Cyclin_E1-M-V
PARK7|DJ-1-R-E
DIRAS3|Di-Ras3-M-E
DVL3|Dvl3-R-V
CDH1|E-Cadherin-R-V
ESR1|ER-alpha_pS118-R-V
MAPK1|ERK2-R-E
FOXO3|FOXO3a-R-C
FOXO3|FOXO3a_pS318_S321-R-C
FN1|Fibronectin-R-V
G6PD|G6PD-M-V
GAPDH|GAPDH-M-C
GSK3A GSK3B|GSK3-alpha-beta-M-V
ERBB2|HER2-M-V
ERBB3|HER3-R-V
NRG1|Heregulin-R-V
IGFBP2|IGFBP2-R-V
INPP4B|INPP4B-G-E
IRS1|IRS1-R-V
MAPK9|JNK2-R-C
MAPK8|JNK_pT183_pY185-R-V
XRCC5|Ku80-R-C
STK11|LKB1-M-E
LCK|Lck-R-V
MAP2K1|MEK1-R-V
MYH11|MYH11-R-V
MRE11A|Mre11-R-C
MYH9|Myosin-IIa_pS1943-R-V
NRAS|N-Ras-M-V
NF2|NF2-R-C
NOTCH1|Notch1-R-V
PDK1|PDK1_pS241-R-V
PEA15|PEA15-R-V
PEA15|PEA15_pS116-R-V
PIK3CA |PI3K-p110-alpha-R-C
PIK3R1/2|PI3K-p85-R-V
PKC|PKC-pan_BetaII_pS660-R-V
PGR|PR-R-V
AKT1S1|PRAS40_pT246-R-V
PRDX1|PRDX1-R-V
PREX1|PREX1-R-E
PTEN|PTEN-R-V
RAB11A RAB11B|Rab11-R-E
Rab 25|Rab25-R-V
RAD50|Rad50-M-V
RPTOR|Raptor-R-V
RB1|Rb_pS807_S811-R-V
RICTOR|Rictor_pT1135-R-V
RPS6|S6-R-E
SHC1|Shc_pY317-R-E
SMAD1|Smad1-R-V
SMAD4|Smad4-M-V
SRC|Src_pY416-R-C
SRC|Src_pY527-R-V
WWTR1|TAZ-R-V
TFRC|TFRC-R-V
TGM2|Transglutaminase-M-V
TSC2|Tuberin-R-E
KDR|VEGFR2-R-V
VHL|VHL-M-C
XPB1|XPB1-G-C
YAP1|YAP_pS127-R-E
YBX1|YB-1-R-V
JUN|c-Jun_pS73-R-V
KIT|c-Kit-R-V
MET|c-Met_pY1235-R-V
MYC|c-Myc-R-C
BIRC2 |cIAP-R-V
EIF4G1|eIF4G-R-C
FRAP1|mTOR_pS2448-R-C
CDKN1A|p21-R-V
CDKN1B|p27-R-V
CDKN1B|p27_pT198-R-V
MAPK14|p38_MAPK-R-V
TP53|p53-R-E
SQSTM1|p62-LCK-ligand-M-C
RPS6KB1|p70S6K-R-V
RPS6KB1|p70S6K_pT389-R-V
